issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
189,CivicActions.com,https://civicactions.com/,https://civicactions.com/,200,true,false,8491,false,0,0,0,0,,Skipped (not requested),true,607,0,16,45,,,true,1954,33,26,7,24,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;heading_markup_misuse;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_contrast_sufficient,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),7,,Home | CivicActions
189,CivicActions.com,https://civicactions.com/accessibility-statement/,https://civicactions.com/accessibility-statement/,200,true,false,4709,false,0,0,0,0,,Skipped (not requested),true,385,0,0,52,,,true,1282,22,16,6,13,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),6,,Accessibility Statement | CivicActions
189,CivicActions.com,https://civicactions.com/press/2022-04-21-civicactions-announces-Ryerson-partnership-digital-accessibility/,https://civicactions.com/press/2022-04-21-civicactions-announces-Ryerson-partnership-digital-accessibility/,200,true,false,4518,false,0,0,0,0,,Skipped (not requested),true,309,0,1,52,,,true,1126,27,20,7,18,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_quoted_correctly,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),7,,Ryerson University partners with CivicActions to advance digital accessibility | CivicActions
189,CivicActions.com,https://civicactions.com/services/,https://civicactions.com/services/,200,true,false,5138,false,0,0,0,0,,Skipped (not requested),true,711,3,1,51,color-contrast,,true,1984,40,24,16,28,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_contrast_sufficient,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),16,,Services | CivicActions
189,CivicActions.com,https://civicactions.com/services2/,https://civicactions.com/services2/,200,true,false,4337,false,0,0,0,0,,Skipped (not requested),true,265,1,0,52,page-has-heading-one,,true,998,22,16,6,14,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),6,,CivicActions | Open and Agile Digital Government Services | CivicActions
189,CivicActions.com,https://civicactions.com/case-studies/cms-web-experience-services/,https://civicactions.com/case-studies/cms-web-experience-services/,200,true,false,5065,false,0,0,0,0,,Skipped (not requested),true,755,0,3,50,,,true,2544,52,22,30,33,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),30,,Improving the online experience for Medicare beneficiaries | CivicActions
189,CivicActions.com,https://civicactions.com/contact/,https://civicactions.com/contact/,200,true,false,4820,false,0,0,0,0,,Skipped (not requested),true,354,0,0,46,,,true,1239,27,21,6,18,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),6,,Contact | CivicActions
189,CivicActions.com,https://civicactions.com/press/2024-01-16-CivicActions-Announces-Impact-Report/,https://civicactions.com/press/2024-01-16-CivicActions-Announces-Impact-Report/,200,true,false,4521,false,0,0,0,0,,Skipped (not requested),true,281,0,1,52,,,true,1046,25,19,6,16,0,aria_content_in_landmark;aria_hidden_nontabbable;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_quoted_correctly,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),6,,CivicActions Announces 2023 Impact Report | CivicActions
189,CivicActions.com,https://civicactions.com/services/ditap/,https://civicactions.com/services/ditap/,200,true,false,5461,false,0,0,0,0,,Skipped (not requested),true,1009,0,4,43,,,true,2459,51,42,9,42,0,aria_content_in_landmark;aria_descendant_valid;aria_hidden_nontabbable;aria_keyboard_handler_exists;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;heading_markup_misuse;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_quoted_correctly;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),9,,Digital IT Acquisition Professional (DITAP) certification program | CivicActions
189,CivicActions.com,https://civicactions.com/services/ditap/register/,https://civicactions.com/services/ditap/register/,200,true,false,7582,false,0,0,0,0,,Skipped (not requested),true,706,1,10,36,heading-order,,true,797,10,10,0,7,0,aria_content_in_landmark;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_sensory_misuse,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Digital IT Acquisition Professional (DITAP) certification program | CivicActions
